Item,Value
FCFF/WACC Approach,
Sum PV(FCFF),3115.8842421369727
PV(Terminal Value),13207.216582194727
Enterprise Value,16323.100824331701
Less: Debt at Base,-1500.0
Plus: Cash at Base,1492.1
Net Debt,7.900000000000091
Equity Value (from EV),16315.200824331701
---,---
FCFE/Ke Approach,
Sum PV(FCFE),3320.8261807434164
PV(Terminal Value),11233.412199187364
Equity Value (Direct),14554.238379930779
---,---
Reconciliation,
Difference,1760.9624444009223
