Item,Value
Cost of Equity (Ke),0.09
Sum PV(FCFF),75349751.55668171
Terminal Value (FCFF),92489511.45266822
PV Terminal Value,21371845.228703555
Enterprise Value,96721596.78538527
Debt at Base,30000000.0
Cash at Base,5000000.0
Net Debt,25000000.0
Equity Value (FCFF/WACC),71721596.78538527
Equity Value (FCFE/Ke),71554994.31900613
Reconciliation Difference,166602.46637913585
