Item,Value
Cost of Equity (Ke),0.09
Sum PV(FCFF),75617284.59900604
Terminal Value (FCFF),92581244.99745914
PV Terminal Value,21393042.390314203
Enterprise Value,97010326.98932025
Debt at Base,30000000.0
Cash at Base,5000000.0
Net Debt,25000000.0
Equity Value (FCFF/WACC),72010326.98932025
Equity Value (FCFE/Ke),71803116.34476006
Reconciliation Difference,207210.64456018806
